phylum,class,scientificName,AphiaID,year_min,n_years,year_max,n_obs,n_indiv
Chaetognatha,NA,Chaetognatha,2081,1873,80,2021,78781,371056739852.37946
Charophyta,Conjugatophyceae,Zygogonium,600899,2017,1,2017,3,3
Charophyta,Zygnematophyceae,Closterium,162725,2017,2,2019,7,8
Chlorophyta,Chlorodendrophyceae,Tetraselmis,134526,1987,6,2007,29,82044.98000000003
Chlorophyta,Chlorophyceae,Pediastrum,160561,1957,8,2019,372,47295.66999999999
Chlorophyta,Mamiellophyceae,Micromonas,134533,1989,3,1991,192,946757740
Chlorophyta,Prasinophyceae,Pterosperma,160595,1971,44,2017,550,9701532.97112853
Chlorophyta,Pyramimonadophyceae,Pyramimonas,134529,1984,17,2008,101,9166719376.329998
Chlorophyta,Trebouxiophyceae,Oocystis,178611,1985,12,2017,116,18097.123999999996
Chlorophyta,Ulvophyceae,Ulva,144296,1998,10,2018,1735,30944.439951
Chlorophyta,NA,Chlorophyta,801,1987,4,2009,24,5589.648808
Choanozoa,Choanoflagellatea,Bicosta spinifera,105558,1987,8,2005,60,4378.490000000002
Chordata,Actinopteri,Elopomorpha,991849,1973,16,2015,70,112
Chordata,Amphibia,Limnodynastes peronii,1491038,1991,8,2010,16,168
Chordata,Appendicularia,Appendicularia,146421,1961,54,2017,11905,5303271.438800002
Chordata,Ascidiacea,Ascidiacea,1839,1916,64,2020,2231,12631607462.621773
Chordata,Aves,Fulmarus glacialis,137195,1938,56,2021,892182,3851813
Chordata,Chondrostei,Acipenser fulvescens,271694,1908,64,2016,751,4147
Chordata,Cladistii,Erpetoichthys calabaricus,280711,2010,2,2011,6,11
Chordata,Coelacanthi,Latimeria chalumnae,217438,1938,12,1991,19,21
Chordata,Crocodylia,Crocodylus porosus,344030,1993,20,2017,2073,2147
Chordata,Elasmobranchii,Scyliorhinus canicula,105814,1963,49,2020,81483,4779271.9984531
Chordata,Holocephali,Chimaera ogilbyi,298552,1909,39,2007,3371,47191
Chordata,Holostei,Lepisosteus osseus,157872,1877,98,2017,1586,6002
Chordata,Leptocardii,Branchiostoma,104902,1902,43,2020,1269,3642001449.844789
Chordata,Mammalia,Mirounga leonina,231413,1943,65,2019,240584,267670
Chordata,Myxini,Myxine glutinosa,101170,1880,61,2013,6682,519370
Chordata,Petromyzonti,Petromyzon marinus,101174,1895,104,2018,1986,25452.1
Chordata,Teleostei,Gadus morhua,126436,1782,102,2020,594939,35768843.012957096
Chordata,Thaliacea,Salpa,137233,1878,36,2017,1999,143703.516112
Chordata,NA,Caretta caretta,137205,1963,53,2023,127245,142907
Ciliophora,Ciliatea,NA,247931,1959,1,1959,1,10
Ciliophora,Heterotrichea,Metafolliculina,111852,1998,5,2017,27,24005
Ciliophora,Litostomatea,Mesodinium rubrum,232069,1982,27,2009,1335,72123540219.99129
Ciliophora,Oligohymenophorea,Zoothamnium pelagicum,196832,1967,38,2017,648,276350
Ciliophora,Oligotrichea,Strombidium,101195,1982,27,2009,2169,109365840030.82349
Ciliophora,Phyllopharyngea,Thecacineta,341358,1987,3,1990,5,72
Ciliophora,Prostomatea,Balanion,292899,2005,5,2009,142,27.054999999999957
Ciliophora,Spirotrichea,Gonostomatidae,863613,1957,1,1957,4,4
Ciliophora,NA,Ciliophora,11,1982,29,2021,1098,185217514648.68387
Cnidaria,Anthozoa,Plexauridae,125277,1876,45,2022,17470,67599
Cnidaria,Cnidaria incertae sedis,Medusa,596365,1952,1,1952,22,48.24000000000001
Cnidaria,Cubozoa,Chironex fleckeri,289593,1961,8,1998,29,46
Cnidaria,Hydrozoa,Stylaster,117246,1877,74,2019,14488,52443
Cnidaria,Myxozoa,Coccomyxa colurodontidis,1039021,2009,1,2009,1,1
Cnidaria,Scyphozoa,Scyphozoa,135220,1880,55,2022,9181,140677364.043087
Cnidaria,Staurozoa,Calvadosia vanhoeffeni,886189,1959,6,2006,10,25
Cnidaria,NA,Cnidaria,1267,1928,56,2021,3379,229232748639.79727
Coelenterata,NA,Coelenterata,152230,1970,12,2016,89,717.9319
Cryptophyta,Cryptophyceae,Cryptomonas,106282,1982,12,2001,1029,20121.03
Cryptophyta,Cryptophyta incertae sedis,Leucocryptos marina,119077,1985,16,2007,860,220789.26
Cryptophyta,Telonemea,Telonema subtile,118075,2006,1,2006,6,7385
Cryptophyta,NA,Cryptomonada,146220,1991,1,1991,7,9125
Ctenophora,Nuda,Beroe ovata,106362,1885,13,2003,84,709
Ctenophora,Tentaculata,Pleurobrachia pileus,106386,1871,23,2003,590,91442.88453430004
Ctenophora,NA,Ctenophora,1248,1958,28,2022,219,3711.1490000000017
Cyanobacteria,Cyanophyceae,Oscillatoria,146549,1977,32,2017,373,2942264.100000001
Cyanobacteria,NA,Cyanobacteria,146537,1977,18,2017,122,2452000.1893929997
Cycliophora,Eucycliophora,Symbion pandora,106408,2005,1,2005,1,1
Dicyemida,Rhombozoa,Dicyemennea eltanini,265720,1964,1,1964,2,2
Discomitochondria,Kinetoplastida,NA,292929,2005,2,2006,3,3103723008.12
Discomitochondria,NA,Discomitochondria,146221,1991,1,1991,7,7062.5
Echinodermata,Asteroidea,Asteroidea,123080,1891,62,2020,14829,215256467.2098999
Echinodermata,Crinoidea,Crinoidea,123081,1885,53,2020,1093,51861.160952114995
Echinodermata,Echinoidea,Echinocardium cordatum,124392,1900,61,2013,8407,293413.22983299935
Echinodermata,Holothuroidea,Isostichopus fuscus,529516,1966,12,2005,11112,41611549
Echinodermata,Ophiuroidea,Ophiuroidea,123084,1923,62,2020,13603,86657059.14503299
Echinodermata,NA,Echinodermata,1806,1890,77,2021,35156,198910579566.05908
Entoprocta,NA,Entoprocta,1271,1991,9,2016,27,186.3
Euglenozoa,Euglenoidea,Euglena,8012,1952,10,2017,284,171078.03999999998
Euglenozoa,Euglenophyceae,Euglenophyceae,19539,1992,16,2009,92,37242751246.293625
Euglenozoa,Kinetoplastea,Bodonidae,22556,1992,14,2005,66,3093093152.380477
Firmicutes,Bacili,Bacillus,415091,2015,2,2016,51,51
Foraminifera,Foraminifera incertae sedis,Involutina pacifica,815664,1985,1,1985,3,4
Foraminifera,Fusulinata,Pseudolituotubella brevicollis,1305884,2005,1,2005,33,182
Foraminifera,Globothalamea,Neogloboquadrina pachyderma,113458,1947,53,2007,37246,18104705.53299999
Foraminifera,Monothalamea,Monothalamea,744106,2015,4,2021,27537,42021
Foraminifera,Nodosariata,Fissurina,112154,1965,31,2021,3290,10541.310899999971
Foraminifera,Tubothalamea,Quinqueloculina,112040,1967,40,2021,2218,26961.897599999997
Foraminifera,NA,Foraminifera,1410,1956,46,2021,2554,1529487.9760832984
Gastrotricha,NA,Gastrotricha,2078,1970,28,2021,1698,210854.80662588569
Gnathostomulida,NA,Gnathostomulida,14262,1970,5,2020,25,187.72942513077373
Haptophyta,Coccolithophyceae,Geminilithella,1664973,1991,2,1995,411,626.4700000000001
Haptophyta,Haptophyta incertae sedis,Umbellosphaera tenuis,235983,1954,14,2002,499,716803.9820000001
Haptophyta,Pavlovophyceae,Rebecca salina,573916,1987,6,2000,26,38540.75
Haptophyta,Prymnesiophyceae,Emiliania huxleyi,115104,1952,36,2009,8694,786325695867.7278
Hemichordata,Enteropneusta,[unassigned] Enteropneusta,178738,1962,17,2004,1390,5083
Hemichordata,Graptolithoidea,Cephalodiscus hodgsoni,266752,1927,19,2009,52,3112
Hemichordata,NA,Hemichordata,1818,1980,19,2017,132,10290176027.861662
Kinorhyncha,Allomalorhagida,Kinorhynchus,101088,1978,3,1981,92,128
Kinorhyncha,Cyclorhagida,Echinoderes,101084,1977,4,1981,225,695
Kinorhyncha,NA,Kinorhyncha,101060,1970,33,2021,1517,388847.9563646422
Loricifera,NA,Loricifera,101061,2001,10,2020,426,9989.66805852223
Microsporidia,Microsporea,Agglomerata lacrima,819394,1986,1,1986,1,1
Mollusca,Bivalvia,Varicorbula gibba,378492,1909,94,2017,33264,448975.2739129995
Mollusca,Caudofoveata,Chaetoderma nitidulum,139106,1977,34,2013,1123,2368.4000000000005
Mollusca,Cephalopoda,Doryteuthis pealeii,574541,1873,81,2013,17554,6439309
Mollusca,Gastropoda,Peringia ulvae,151628,1960,40,2014,56772,277190.9
Mollusca,Monoplacophora,Monoplacophora,415,2010,5,2016,15,16
Mollusca,Polyplacophora,Katharina tunicata,386338,2005,17,2021,2330,26781
Mollusca,Scaphopoda,Scaphopoda,104,1956,53,2016,1055,5309
Mollusca,Solenogastres,Solenogastres,2094,1957,23,2019,168,555.3699999999999
Mollusca,NA,Mollusca,51,1889,69,2020,1839,27995.90820000001
Myzozoa,Aconoidasida,Leucocytozoon tawaki,722978,1976,2,1977,2,77
Myzozoa,Dinoflagellata incertae sedis,Operculodinium centrocarpum,835694,1966,18,2005,2395,181112.92999999988
Myzozoa,Dinophyceae,Tripos fusus,840626,1929,72,2017,59608,10725121247.190731
Myzozoa,Ellobiopsea,Thalassomyces marsupi,562954,1959,2,1960,5,5
Myzozoa,Peridinea,Peridinea,562634,1952,4,1991,286,454831.5
Myzozoa,Protalveolata incertae sedis,Amallocystis fagei,844772,1928,3,1932,14,20
Myzozoa,NA,Dinoflagellata,146203,1952,29,2009,15702,229275836722.84784
Nematoda,Chromadorea,Daptonema,2455,1966,34,2021,2156,88827.28874367368
Nematoda,Enoplea,Halalaimus,2548,1963,33,2021,1672,96278.49022340516
Nematoda,Nematoda incertae sedis,Nematoda incertae sedis,22945,1995,1,1995,64,301949
Nematoda,NA,Nematoda,799,1952,61,2021,16691,13991279829.647474
Nematomorpha,NA,Nematomorpha,162564,1983,10,2011,33,311
Nemertea,Hoplonemertea,Oerstedia dorsalis,122817,2006,5,2010,62,96
Nemertea,Nemertea incertae sedis,Nemertites,608011,1999,2,2014,12,12
Nemertea,Palaeonemertea,Tubulanus,122388,1975,18,2011,1764,6126
Nemertea,Pilidiophora,Cerebratulus,122348,1890,18,2010,1563,4194
Nemertea,NA,Nemertea,152391,1872,100,2021,25158,158121.3934438782
Ochrophyta,Bacillariophyceae,NA,695395,1988,2,1989,32,900
Ochrophyta,Bolidophyceae,Triparma,341361,2001,1,2001,1,1
Ochrophyta,Chrysomerophyceae,Giraudyopsis stellifera,590471,1977,3,1989,3,3
Ochrophyta,Chrysophyceae,Chrysococcus,248110,1985,8,1998,850,1233493.0300000005
Ochrophyta,Dictyochophyceae,Octactis speculum,1310442,1952,38,2009,1461,542424.5473184296
Ochrophyta,Eustigmatophyceae,Tetraëdriella,600928,2019,1,2019,16,300
Ochrophyta,Khakista incertae sedis,Mediopyxis helysia,345485,2013,1,2013,1,15000
Ochrophyta,Olisthodiscophyceae,Olisthodiscus,233763,1993,3,1999,15,243.01
Ochrophyta,Phaeophyceae,Phyllospora comosa,374788,1998,9,2006,4164,134117
Ochrophyta,Raphidophyceae,Olisthodiscus luteus,233765,1992,2,1996,9,145.76000000000002
Ochrophyta,Xanthophyceae,Meringosphaera mediterranea,248129,1952,4,2006,69,140002.55
Ochrophyta,NA,Ochrophyta,345465,2007,2,2009,25,309.123544
Orthonectida,NA,Ciliocincta sabellariae,265734,1967,1,1967,1,2
Phoronida,NA,Phoronis muelleri,128549,1975,39,2013,8807,321311
Plantae incertae sedis,NA,Triquetrorhabdulus,603409,1981,3,1995,91,49.47999999999997
Platyhelminthes,Cestoda,Gigantolina magna,370479,1997,2,1998,3,60
Platyhelminthes,Monogenea,Nitzschia,119270,1958,57,2017,3061,115661179.34
Platyhelminthes,Trematoda,Oligogonotylus andinus,1596212,2019,2,2020,12,47
Platyhelminthes,Turbellaria,Turbellaria,794,1885,66,2021,4911,1752215.9363966978
Platyhelminthes,NA,Platyhelminthes,793,1976,35,2021,870,5264.978003000009
Porifera,Calcarea,Calcarea,559,1961,23,2019,641,9511
Porifera,Demospongiae,Demospongiae,164811,1885,46,2021,18083,428972.3521945821
Porifera,Hexactinellida,Hexactinellida,22612,1874,55,2021,15587,49375.878098846006
Porifera,Homoscleromorpha,Plakortis,131983,1973,7,2022,245,629
Porifera,NA,Porifera,558,1872,127,2022,131533,17793142.872181013
Priapulida,NA,Priapulus caudatus,101160,1905,45,2013,1251,1829
Proteobacteria,Alphaproteobacteria,Labrenzia,567668,2016,1,2016,1,1
Proteobacteria,Gammaproteobacteria,Coxiella,571120,1969,9,1980,17,396
Radiozoa,Acantharia,Amphilithidae,367349,2019,1,2019,11,46
Radiozoa,Polycystina,Nassellaria,235741,1986,7,1999,281,518.4429999999998
Radiozoa,Radiozoa incertae sedis,Peridium,391955,2017,3,2019,50,938
Radiozoa,Sticholonchea,Sticholonche,235738,1930,2,1931,4,42000
Radiozoa,NA,Radiozoa,582421,1929,16,2019,235,5036946769.430001
Rhizopoda,NA,Rhizopoda,1279,1963,1,1963,1,3
Rhodophyta,Bangiophyceae,Porphyra,143808,2005,6,2010,117,694
Rhodophyta,Compsopogonophyceae,Boldia,494051,1997,1,1997,2,5
Rhodophyta,Florideophyceae,Corallina,144007,1982,7,2010,384,2284.5
Rhodophyta,Rhodophyta incertae sedis,Umbellula,604610,2017,1,2017,1,1
Rhodophyta,NA,Rhodophyta,852,1998,6,2010,189,9524.454868
Rotifera,Eurotatoria,Brachionus,134937,1988,2,1989,82,3740
Rotifera,NA,Rotifera,14260,1963,17,2015,521,8956.6133331
Sarcomastigophora,Zoomastigophora,Zoomastigophora,24,1992,18,2009,497,530672249508.2832
Sarcomastigophora,NA,Sarcodina,172658,1977,22,2009,239,14625021.760000017
Spirochaetes,Spirochaetes(Class),Borrelia,571017,1987,1,1987,1,0.2
Tardigrada,Heterotardigrada,Actinarctus doryphorus,136680,1969,1,1969,10,10
Tardigrada,NA,Tardigrada,1276,1970,24,2021,1446,39939.6179485166
Tracheophyta,Magnoliopsida,Zostera subg. Zostera marina,145795,1965,29,2009,547,87985.31336340001
Xenacoelomorpha,NA,Acoela,2847,1974,2,2012,4,6
NA,Bangiophyceae,Porphyra umbilicalis,144437,2003,5,2010,81,1369
NA,Chlorodendrophyceae,Tetraselmis suecica,163447,1986,2,1993,6,6980
NA,Chlorophyceae,Brachiomonas submarina,345437,1986,4,1990,8,9
NA,Chlorophyta incertae sedis,Poropila dubia,840364,1952,9,1999,120,17268.12
NA,Compsopogonophyceae,Erythrotrichia carnea,145490,2003,2,2004,20,7.619999999999998
NA,Dothideomycetes,Cladosporium,100218,2016,1,2016,2,2
NA,Ebriophyceae,Ebria tripartita,118051,1952,24,2005,137,3665.22
NA,Eurotiomycetes,Aspergillus,100211,2016,1,2016,2,2
NA,Florideophyceae,Jania rosea,375194,1998,9,2006,3404,30743
NA,Lichinomycetes,Lichina pygmaea,147720,2003,6,2010,119,4028
NA,Magnoliopsida,Amphibolis antarctica,374718,1998,9,2006,947,36359
NA,Mamiellophyceae,Micromonas pusilla,134564,1993,1,1993,9,360
NA,Prasinophyceae,Pterosperma cristatum,376081,1952,7,1999,90,18971.91
NA,Pyramimonadophyceae,Coccopterum labyrinthus,620590,1970,15,2005,1442,83010
NA,Rhodophyta incertae sedis,Callophycus oppositifolius,371397,2003,3,2005,68,17708
NA,Stylonematophyceae,Stylonema alsidii,145688,2004,1,2004,8,5.549999999999999
NA,Trebouxiophyceae,Oocystis composita,590450,1994,2,1998,3,2749.44
NA,Ulvophyceae,Cladophora prolifera,145060,1998,8,2005,737,7250.610000000001
NA,NA,Protozoa,5,1952,33,2009,3321,633563069270.8519
