phylum,class,scientificName,AphiaID,year_min,n_years,year_max,n_obs,n_indiv
Acanthocephala,Eoacanthocephala,Neoechinorhynchus,20369,2019,2,2020,7,36
Acanthocephala,Palaeacanthocephala,Calakmulrhynchus amini,1471203,1988,1,1988,1,1
Acritarcha,NA,Acritarcha,1340068,1986,2,1993,54,546
Actinobacteria,Actinobacteria,Kocuria,415531,2016,1,2016,1,1
Amoebozoa,Lobosa incertae sedis,NA,576922,1988,1,1988,1,20
Amoebozoa,Tubulinea,Amoeba,120533,1987,16,2009,165,30138784655.55006
Annelida,Clitellata,Oligochaeta,2036,1869,77,2022,16745,608899.8010661001
Annelida,Polychaeta,Scoloplos armiger,130537,1872,96,2013,32426,364791.604452
Annelida,NA,Sipuncula,1268,1886,69,2021,5705,73898.01881253741
Arthropoda,Arachnida,Acari,292684,1959,23,2017,593,110551.1069198
Arthropoda,Branchiopoda,Evadne,106267,1946,65,2017,19027,134533681633.18983
Arthropoda,Cephalocarida,Hutchinsoniella macracantha,378162,1973,9,1984,63,217
Arthropoda,Chilopoda,Scolopendra,238245,2017,1,2017,3,4
Arthropoda,Copepoda,Calanoida,1100,1909,76,2020,106611,315846364005.2172
Arthropoda,Hexapoda,Chironomidae,118100,1934,47,2017,4095,110807
Arthropoda,Ichthyostraca,Argulus,104071,1955,13,2009,22,80
Arthropoda,Malacostraca,Homarus americanus,156134,1874,65,2014,384192,3485010.8
Arthropoda,Maxillopoda,Maxillopoda,1070,1979,20,2015,469,2408
Arthropoda,Merostomata,Limulus polyphemus,150514,1969,41,2014,3927,30308
Arthropoda,Ostracoda,Ostracoda,1078,1871,80,2021,12045,1704241.130320238
Arthropoda,Pycnogonida,Anoplodactylus petiolatus,134723,1884,45,2015,725,1790.9015636
Arthropoda,Remipedia,Godzilliognomus frondosus,377306,1987,1,1987,2,2
Arthropoda,Tantulocarida,Tantulocarida,1083,2002,8,2016,337,4056
Arthropoda,Thecostraca,Cirripedia,1082,1881,85,2021,7878,339013576115.8344
Arthropoda,NA,Crustacea,1066,1882,54,2019,4273,5852559.583337296
Ascomycota,Dothideomycetes,Heleiosa,437505,1959,1,1959,1,60
Ascomycota,Eurotiomycetes,Hydropunctaria maura,1609738,2003,7,2010,160,10051
Ascomycota,Lecanoromycetes,Rhizocarpon,578651,2008,1,2008,1,2
Ascomycota,Lichinomycetes,Lichina confinis,147721,2003,1,2003,9,264
Ascomycota,Sordariomycetes,Fusarium,100226,2016,1,2016,2,2
Bacillariophyta,Bacillariophyceae,Thalassiosira,148912,1948,70,2017,58356,83983476114.13783
Basidiomycota,Agaricomycetes,Auricularia,345834,2014,8,2021,270,6540.621100000003
Brachiopoda,Craniata,Novocrania anomala,235385,1982,5,2009,16,24
Brachiopoda,Inarticulata,NA,147802,2008,1,2008,4,27
Brachiopoda,Lingulata,Glottidia pyramidata,235372,1976,6,2015,70,124
Brachiopoda,Rhynchonellata,Gryphus vitreus,104068,2000,11,2010,117,89075.99451800005
Brachiopoda,NA,Brachiopoda,1803,1956,41,2020,721,4062
Bryozoa,Gymnolaemata,Einhornia crustulenta,467577,1873,14,2011,740,798
Bryozoa,Stenolaemata,Exidmonea atlantica,471226,1873,15,1992,115,194
Bryozoa,NA,Bryozoa,146142,1885,77,2021,9939,238958273280.14084
Cercozoa,Ascetosporea,Haplosporidium comatulae,563568,1983,1,1983,1,1
Cercozoa,Gromiidea,Gromiidea,591228,2021,1,2021,8,30
Cercozoa,Imbricatea,Reckertia igloolika,839155,1997,1,1997,28,28
Cercozoa,Thecofilosea,Aulacantha scolymantha,391970,1906,4,1959,24,133
Cercozoa,NA,Volutella,136788,1966,2,1971,3,3
Chaetognatha,Sagittoidea,Parasagitta elegans,105440,1875,33,2008,777,34124959237.832405
