Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.42877E-12,0.000000001,0.000000004,0.999181586,0,0
2.1256E-12,0.000000003,0.000000005,0.99826087,0,0
3.84526E-12,0.00000001,0.00000001,0.995601023,0,0
6.19741E-12,0.000000025,0.000000016,0.992634271,0,0
1.30806E-11,0.0000001,0.000000033,0.984654731,0,0
2.33258E-11,0.000000251,0.000000058,0.976163683,0,0
6.72536E-11,0.000001003,0.000000168,0.957647059,0,0
1.49114E-10,0.000002507,0.000000374,0.943017903,0,0
5.03976E-10,0.000010019,0.000001263,0.917442455,0,0
9.02461E-10,0.000025048,0.000002261,0.895652174,0,0
1.61558E-9,0.000050064,0.000004048,0.875191816,0,0
2.82083E-9,0.000100089,0.000007067,0.851764706,0,0
5.85418E-9,0.00025018,0.000014667,0.814526854,0,0
1.04926E-8,0.000500384,0.000026287,0.782710997,0,0
2.04185E-8,0.001000322,0.000051154,0.747723785,0,0
5.95628E-8,0.002501493,0.000149215,0.705063939,0,0
1.23509E-7,0.005012339,0.000309387,0.675601023,0,0
2.43358E-7,0.010003831,0.000609514,0.646342711,0,0
5.69729E-7,0.025006835,0.001426358,0.606445013,0,0
1.11944E-6,0.050041962,0.002800671,0.575549872,0,0
2.19556E-6,0.10021232,0.005485568,0.543938619,0,0
4.16018E-6,0.200063636,0.010368639,0.511508951,0,0
5.97504E-6,0.300323026,0.014858151,0.490946292,0,0
7.33925E-6,0.400106686,0.018219461,0.475601023,0,0
8.63848E-6,0.500078385,0.021409997,0.462813299,0,0
9.96527E-6,0.600252584,0.02465753,0.451764706,0,0
1.13604E-5,0.700464996,0.028060683,0.442148338,0,0
1.20802E-5,0.751019141,0.029811979,0.437749361,0,0
1.27013E-5,0.800828699,0.031320403,0.433657289,0,0
1.39975E-5,0.900753101,0.034461042,0.425984655,0,0
1.53072E-5,1.000675365,0.037624067,0.419028133,0,0
1.67113E-5,1.10026498,0.041003455,0.412685422,0,0
1.82329E-5,1.201631702,0.044652484,0.406751918,0,0
1.93261E-5,1.301482012,0.047265274,0.401329923,0,0
2.05182E-5,1.400885483,0.050106714,0.396214834,0,0
2.15333E-5,1.501985895,0.052519206,0.391304348,0,0
2.4895E-5,1.752012455,0.060465695,0.380358056,0,0
2.75587E-5,2.000124201,0.066714919,0.370639386,0,0
