Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.19156E-10,0.000000032,0.000000785,1,0,0
4.15395E-10,0.000000112,0.000001022,0.999827527,0,0
4.44377E-10,0.000000288,0.000001093,0.99948258,0,0
5.11062E-10,0.000001047,0.000001257,0.998102794,0,0
6.57196E-10,0.000002557,0.000001617,0.995860642,0,0
1.2103E-9,0.000010068,0.000002977,0.989651604,0,0
1.7483E-9,0.000025117,0.000004301,0.980682994,0,0
2.64397E-9,0.000050133,0.000006504,0.970852018,0,0
4.0386E-9,0.000100297,0.000009935,0.957916523,0,0
6.39716E-9,0.000250102,0.000015736,0.933856502,0,0
9.25924E-9,0.000500835,0.000022777,0.90496723,0,0
1.67891E-8,0.001000979,0.000041299,0.870817523,0,0
3.79113E-8,0.002501594,0.000093254,0.823042428,0,0
7.00293E-8,0.00500429,0.00017225,0.781735081,0,0
1.32347E-7,0.010000558,0.000325507,0.737926871,0.000625782,0
3.14693E-7,0.025008615,0.000773815,0.674801656,0.000625782,0
5.77516E-7,0.050005811,0.001419625,0.625819248,0.001251564,0
9.9711E-7,0.100025908,0.002449789,0.570800276,0.001251564,0
1.96427E-6,0.200077269,0.004820271,0.509399793,0.001877347,0
3.11483E-6,0.300180968,0.007632904,0.474560193,0.001877347,0
4.44659E-6,0.400351671,0.010878584,0.451448775,0.003128911,0
5.75913E-6,0.500447823,0.014067035,0.434460159,0.005006258,0
6.86452E-6,0.60066581,0.016744299,0.420748534,0.005006258,0
7.86389E-6,0.700302329,0.019158516,0.409020352,0.005006258,0
8.41629E-6,0.75001437,0.020490415,0.403759917,0.005006258,0
9.07567E-6,0.800054504,0.022077896,0.398844429,0.005006258,0
9.95971E-6,0.900573559,0.024202231,0.389703346,0.00563204,0
1.09958E-5,1.000628326,0.026686113,0.381510866,0.00563204,0
1.20158E-5,1.100726136,0.029125209,0.374008279,0.00563204,0
1.30747E-5,1.200141859,0.031650805,0.367195585,0.00563204,0
1.38906E-5,1.300277582,0.033592362,0.360814074,0.00563204,0
1.45884E-5,1.401316016,0.03524974,0.354691273,0.00563204,0
